# Hosts where Web Data Commons saw one employer's vacancies (Common Crawl 2024-12) that the
# lists do not name. Written by builder/tools/domains-wdc.mjs; read by the hunter, which decides
# by reading the site. domain, employer
jobs.hirewithnear.com, Confidential Client
tradingview.teamtailor.com, TradingView
empleos.telecom.com.ar, telecomarg
international-automotive-components.breezy.hr, International Automotive Components
netsea-technologies.breezy.hr, NetSEA Technologies
prozis.breezy.hr, Prozis
silicon-austria-labs.jobs.personio.de, Silicon Austria Labs GmbH
careers.acaglobal.com, ACA Group
empit.com, Electromagnetic Pipeline Testing GmbH
america-intern.com, SKYUS Co. Ltd.
jobs.ab-in-den-urlaub.de, Invia Travel Germany GmbH
beluxenglish-equans.icims.com, UNAVAILABLE
careers.alephzero.org, Supra
apspersoneel.nl, APS Personeelservices
job.winningpool.com, Schellenberger Personalberatung & Consulting GmbH
target-engineering.eu, confidential
ctsengineering.nl, CTS Engineering
careers.hedera.community, atma.io
tk.de, Techniker Krankenkasse
hyperec.com, HRS
dsjglobal.ch, DSJ Global
dsjglobal.co.uk, DSJ Global
dsjglobal.com, DSJ Global
dsjglobal.de, DSJ Global
dsjglobal.hk, DSJ Global
apply.iintegra.com, Siamo Group
jobs.baesystems.com, BAE Systems
epidemic-sound.teamtailor.com, Epidemic Sound
karriere.gu-gruppe.de, Gretsch-Unitas GmbH Baubeschläge
dev-partners-philippines.breezy.hr, Dev Partners
qblox.jobs.personio.de, Qblox
careers.msxi.com, MSX INTERNATIONAL
careers.ugicorp.com, UGI Corporation
careers.edfenergy.com, EDF Limited
smarthub.ai, abc
ktwo.se, K Two Technology Consulting AB
pjfinder.com, コンセスコンサルティング株式会社
careers-cecinc.icims.com, UNAVAILABLE
careers-kleinfelder.icims.com, Kleinfelder Inc
starcityyangon.com, Yoma Land
careers.fdmgroup.com, FDM Group
crowdtech.jp, 社名非公開
dusbv.nl, DUS
enviria.energy, undefined
canadavacancies.com, BMO
careers.jsginc.com, Johnson Service Group
thehtgroup.com, The HT Group
jobs.fisgruppe.de, FIS Informationssysteme
ecg.ae, Emirates Consulting Group
esntechnologies.co.in, ESN Technologies (India) Pvt. Ltd.
hipsters.jobs, RecrutaSimples
everymatrix.teamtailor.com, EveryMatrix
careers.bydeurope.com, BYD Europe
rexx-rockme.com, 0
volunteer.newearthproject.org, Information Technology
mailgtw.ccstechnologies.in, ccs
engagecareers.inizioengage.com, Ashfield Healthcare
j-bandy-consulting-limited.breezy.hr, J Bandy Consulting
mainstreaming-spa.breezy.hr, MainStreaming
cascination-ag.jobs.personio.com, CASCINATION AG
edocag.jobs.personio.de, edoc solutions ag
burda.com, BurdaSolutions
careers.hhcorp.org, HHC
ambikafoundation.in, Reliance
electronics4you.cc, OST-Ostschweizer Fachhochschule
bbio.nl, Bilthoven Biologicals
careers-brutonknowles.icims.com, Bruton Knowles Limited
careers-magaero.icims.com, MAG Aerospace
careers-oneidentity.icims.com, Quest Software
careers.sdggroup.com, SDG Group
visel.in, Vision India
careers.cmcts.com.vn, Tổng Công ty Công nghệ và Giải pháp CMC
cmellp.com, Creighton Manning Engineering LLP
careers.tt-s.com, tts
jobs.groupe-tvhconsulting.com, TVH Consulting
karriereportal-stellen.berlin.de, Berliner Verwaltung
bangkokshipcrews.com, BSC
coody.teamtailor.com, Coody
securitas.teamtailor.com, Securitas
cl.terecluta.com, Tawa Chile
jobs.dfinsolutions.com, Donnelley Financial Solutions
tsgitsystems.com, TSG IT Advanced Systems
ccsbeta.ccstechnologies.org, ccs
search-careers.gm.com, General Motors
maasys.com, maasystems
martide.com, Marine MAN Ltd
af.breezy.hr, AF
evident-insights.breezy.hr, Evident Insights
nexo.breezy.hr, Nexo
prewave.jobs.personio.com, Prewave GmbH
careers.bldr.com, Builders FirstSource
werkenbijasr.nl, a.s.r. Verzekeringen
careers-edgewaterit.icims.com, Edgewater Federal Solutions Inc.
careers-valiantsolutions.icims.com, Valiant Solutions LLC
everwatch-everwatchsolutions.icims.com, Everwatch
jobs.eitccorp.com, Enlighten
careers.lausd.org, Los Angeles Unified School District
club-freelance.com, MagsRUs Wheel Company
careers.eoexecutives.com, EO International
keyresources.in, Welknow company
dealspromosetc.com, DealsPromoetc
recruit.snowcorp.com, KREAM
noc-engineering.de, N.O.C Engineering GmbH
careers.azenta.com, Virtual Company
spi-ind.com, Sierra Pacific Industries
knstek.com, KNS Technologies Pvt Ltd.
avit.website, Aryavart Institute of Technology
fi-ts-karriere.dvinci-easy.com, Finanz Informatik Technologie Service GmbH & Co. KG
prism-digital.com, Penpole
produktqualifizierung.de, EKS Elektrotechnik GmbH
themembercompany.com, TMC
vacatures.axslogistiek.nl, AXS / HYP/ HR Sterk
carreras.bat.com, British American Tobacco
careers.batj.com, British American Tobacco
almond.teamtailor.com, Almond
fenarc.teamtailor.com, FENARC
tecnicospoa.com.br, Emprego RS
jobs.bms.com, Bristol Myers Squibb
jobs.e-holding.de, Echterhage Holding GmbH & Co. KG
mcdprojectservices.com.au, MCD Australia
quadcode.breezy.hr, Quadcode
sava-health.breezy.hr, SAVA
egym.jobs.personio.de, EGYM GmbH
karriere.bpc.ag, best practice consulting AG
careers.lla.com, Liberty Latin America Communications Inc.
ivcevidensia.co.uk, Independent Vetcare
cdn.employment.pro, Confidential
dnatechnology.work, DNA Technology
